PP,Soc_NonSoc,StimImage,ValenceUserChoice
63,NonSocial,NSnew30.jpg,7
63,NonSocial,cake7border.jpg,8
63,NonSocial,7260.jpg,8
63,NonSocial,chips.jpg,7
63,Social,wedding2.jpg,5
63,Social,childreadingborder.jpg,5
63,NonSocial,7508.jpg,8
63,Social,SnewIAPS36.jpg,5
63,Social,Snews25.jpg,4
63,NonSocial,NSnew7.jpg,9
63,Social,smilee.jpg,3
63,Social,Snewes7Lum.jpg,5
63,Social,Snews22.jpg,4
63,NonSocial,7200.jpg,8
63,NonSocial,cake3.jpg,8
63,Social,Snews2Lum.jpg,5
63,Social,SnewIAPS29Lum.jpg,8
63,Social,Snews24.jpg,5
63,NonSocial,yatch.jpg,7
63,NonSocial,7502Lum.jpg,7
63,Social,famreadingborderLum.jpg,4
63,NonSocial,5001.jpg,5
63,NonSocial,7281.jpg,6
63,Social,SnewIAPS17.jpg,5
63,NonSocial,NSadj1ns21rjLum.jpg,8
63,NonSocial,chocolate3border.jpg,7
63,Social,fam1reading.jpg,4
63,NonSocial,pizza.jpg,7
64,Social,SnewIAPS30.jpg,6
64,Social,Snewes7Lum.jpg,7
64,Social,SnewIAPS28.jpg,5
64,NonSocial,cake8borderLum.jpg,8
64,NonSocial,5001.jpg,6
64,NonSocial,NSnew3Lum.jpg,5
64,NonSocial,8503.jpg,5
64,NonSocial,popcorn.jpg,5
64,Social,Snews24.jpg,6
64,Social,wedding3.jpg,6
64,Social,SnewIAPS14Lum.jpg,5
64,NonSocial,5480.jpg,7
64,NonSocial,pizza.jpg,6
64,NonSocial,7270Lum.jpg,7
64,NonSocial,NSadj34rjborderLum.jpg,7
64,NonSocial,5779.jpg,6
64,NonSocial,pizza3.jpg,6
64,Social,family2.jpg,7
64,Social,smile1.jpg,8
64,NonSocial,yatch.jpg,6
64,Social,Snews25.jpg,7
64,Social,Snewes38border.jpg,8
64,NonSocial,NSadj1ns1rj.jpg,6
64,NonSocial,NSadj64rjborder.jpg,5
64,NonSocial,NSadj41rj.jpg,6
64,Social,childreadingborder.jpg,6
64,Social,Snews5.jpg,6
64,Social,fam1reading.jpg,7
64,Social,8496.jpg,7
64,Social,SnewIAPS27.jpg,7
64,Social,wedding.jpg,7
64,Social,SnewIAPS8.jpg,6
64,Social,Snews26.jpg,6
64,NonSocial,cake7border.jpg,7
64,NonSocial,7200.jpg,6
64,Social,SnewIAPS29Lum.jpg,6
64,NonSocial,NSadj1ns21rjLum.jpg,6
64,Social,Snewes10.jpg,7
64,Social,Snews22.jpg,6
64,Social,Snews6.jpg,6
64,Social,Snews7.jpg,5
64,Social,5830.jpg,7
64,NonSocial,NSnew14.jpg,7
64,NonSocial,7260.jpg,5
64,Social,Snews2Lum.jpg,6
64,NonSocial,5760Lum.jpg,5
64,NonSocial,NSnew7.jpg,6
64,NonSocial,7508.jpg,6
64,Social,5628.jpg,6
64,NonSocial,choco9border.jpg,7
64,NonSocial,chocolate3border.jpg,7
64,NonSocial,8531Lum.jpg,6
64,NonSocial,7502Lum.jpg,7
64,Social,Snews27.jpg,7
64,Social,famreadingborderLum.jpg,6
64,NonSocial,cake2.jpg,7
64,NonSocial,NSnew12.jpg,6
64,NonSocial,NSadj36apaintrj.jpg,7
64,Social,smile6.jpg,7
64,Social,SnewIAPS17.jpg,7
64,Social,2165.jpg,7
64,Social,Snewes8black.jpg,7
64,Social,wedding2.jpg,7
64,NonSocial,NSnew30.jpg,6
64,Social,SnewIAPS13.jpg,6
64,NonSocial,7350.jpg,6
64,NonSocial,5982.jpg,6
64,NonSocial,7430Lum.jpg,6
64,NonSocial,chips.jpg,5
64,Social,SnewIAPS35.jpg,6
64,NonSocial,ring2Lum.jpg,5
64,Social,smilee.jpg,6
64,NonSocial,ferrari2.jpg,6
64,NonSocial,7400.jpg,6
64,Social,family.jpg,7
64,Social,SnewIAPS31.jpg,7
64,Social,SnewIAPS36.jpg,6
64,Social,Snewes42.jpg,6
64,NonSocial,7281.jpg,7
64,NonSocial,cake3.jpg,7
65,Social,SnewIAPS13.jpg,8
65,NonSocial,chocolate3border.jpg,8
65,Social,Snews26.jpg,6
65,NonSocial,7508.jpg,8
65,NonSocial,NSadj1ns1rj.jpg,8
65,NonSocial,NSadj34rjborderLum.jpg,8
65,Social,family.jpg,5
65,Social,SnewIAPS8.jpg,8
65,NonSocial,5001.jpg,6
65,NonSocial,cake7border.jpg,8
65,Social,Snews22.jpg,9
65,Social,childreadingborder.jpg,8
65,Social,Snewes42.jpg,7
65,Social,Snewes38border.jpg,9
65,Social,SnewIAPS36.jpg,5
65,Social,SnewIAPS28.jpg,5
65,NonSocial,5982.jpg,8
65,NonSocial,7430Lum.jpg,8
65,Social,SnewIAPS14Lum.jpg,5
65,Social,SnewIAPS35.jpg,7
65,Social,Snewes7Lum.jpg,7
65,Social,SnewIAPS30.jpg,8
65,Social,smile6.jpg,7
65,NonSocial,pizza3.jpg,8
65,NonSocial,NSadj1ns21rjLum.jpg,9
65,Social,Snews25.jpg,7
65,NonSocial,cake3.jpg,6
65,NonSocial,7260.jpg,6
65,NonSocial,NSadj64rjborder.jpg,8
65,Social,wedding.jpg,9
65,Social,8496.jpg,8
65,NonSocial,NSnew12.jpg,6
65,Social,family2.jpg,6
65,Social,Snewes10.jpg,8
65,Social,Snews27.jpg,8
65,NonSocial,cake2.jpg,6
65,NonSocial,ring2Lum.jpg,6
65,Social,wedding3.jpg,7
65,Social,SnewIAPS29Lum.jpg,9
65,NonSocial,8503.jpg,7
65,Social,Snewes8black.jpg,7
65,Social,fam1reading.jpg,7
65,Social,2165.jpg,8
65,NonSocial,yatch.jpg,7
65,NonSocial,NSadj36apaintrj.jpg,7
65,Social,5830.jpg,8
65,Social,Snews5.jpg,7
65,NonSocial,ferrari2.jpg,8
65,Social,Snews7.jpg,6
65,NonSocial,7502Lum.jpg,7
65,NonSocial,NSnew30.jpg,6
65,Social,smilee.jpg,6
65,NonSocial,5779.jpg,8
65,Social,SnewIAPS27.jpg,7
65,Social,Snews6.jpg,7
65,Social,5628.jpg,9
65,NonSocial,choco9border.jpg,7
65,Social,Snews24.jpg,6
65,NonSocial,5760Lum.jpg,8
65,NonSocial,5480.jpg,7
65,NonSocial,NSnew7.jpg,8
65,NonSocial,7400.jpg,6
65,Social,wedding2.jpg,7
65,NonSocial,chips.jpg,6
65,Social,SnewIAPS31.jpg,8
65,NonSocial,NSadj41rj.jpg,7
65,NonSocial,7350.jpg,7
65,NonSocial,pizza.jpg,7
65,Social,famreadingborderLum.jpg,7
65,NonSocial,cake8borderLum.jpg,6
65,NonSocial,NSnew14.jpg,8
65,NonSocial,7270Lum.jpg,6
65,NonSocial,NSnew3Lum.jpg,8
65,Social,SnewIAPS17.jpg,6
65,NonSocial,7281.jpg,8
65,Social,Snews2Lum.jpg,6
65,NonSocial,popcorn.jpg,5
65,Social,smile1.jpg,5
65,NonSocial,8531Lum.jpg,8
65,NonSocial,7200.jpg,7
